,Unnamed: 0,iso3,admin_name,GID_1,population,latitude,longitude,geometry,area,pop_density,capital,demand,ev_center_id,build?
10,10,KEN,Vihiga,KEN.45_1,108550,0.091,34.6136,"POLYGON ((34.59059143 0.04771306, 34.58355713 0.03324224, 34.56124496 0.05068631, 34.55382156 0.09328349, 34.58621979 0.10841874, 34.5859375 0.11920732, 34.60214996 0.12563305, 34.67805481 0.13426811, 34.67320251 0.08551623999999999, 34.61817169 0.07088398999999999, 34.60642624 0.04405568, 34.59059143 0.04771306))",0.0070902366886066,1243,admin,2180.0,EV_Service_Center 11,Yes
11,11,KEN,Kwale,KEN.19_1,165560,-4.415,39.463,"POLYGON ((39.43819427 -4.59124899, 39.43541718 -4.57180595, 39.42708206 -4.55708313, 39.44013977 -4.55069399, 39.44898987 -4.52593422, 39.44347382 -4.53569508, 39.43930435 -4.53319502, 39.42847061 -4.53291702, 39.44180679 -4.53847122, 39.42235947 -4.55847311, 39.41819382 -4.55236006, 39.41291809 -4.55041599, 39.42458344 -4.56513882, 39.41791534 -4.56736088, 39.41791534 -4.58013821, 39.40236282 -4.59013891, 39.39708328 -4.57819414, 39.39430618 -4.57736015, 39.3873291 -4.58862305, 39.38549805 -4.56268311, 39.37390137 -4.55438232, 39.3770752 -4.53790283, 39.39208984 -4.52478027, 39.38769531 -4.49182129, 39.36730957 -4.45001221, 39.34790039 -4.4473877, 39.33929443 -4.41461182, 39.32452393 -4.41540527, 39.32189941 -4.39141846, 39.32751465 -4.38439941, 39.39349365 -4.39581299, 39.4677124 -4.33337402, 39.480896 -4.30340576, 39.48651123 -4.30737305, 39.50390625 -4.28771973, 39.52789307 -4.28137207, 39.55950928 -4.24761963, 39.57611084 -4.26019287, 39.5836792 -4.25421143, 39.60041809 -4.25483894, 39.54958344 -4.39208221, 39.54097366 -4.43514013, 39.53347397 -4.43847179, 39.52513885 -4.41902781, 39.51514053 -4.4220829, 39.50708389 -4.44680691, 39.5004158 -4.44458389, 39.50013733 -4.46541595, 39.47236252 -4.50125122, 39.45347214 -4.58319521, 39.43819427 -4.59124899))",0.0370065960187679,363,admin,3319.0,EV_Service_Center 12,Yes
12,12,KEN,Elgeyo-Marakwet,KEN.5_1,108600,0.7115,35.5442,"POLYGON ((35.472332 0.54684484, 35.48125076 0.5948866, 35.40923691 0.70836908, 35.50495529 0.7077648, 35.49335861 0.73246229, 35.49758911 0.75250936, 35.4908905 0.75536984, 35.49835968 0.75386167, 35.50741196 0.77096969, 35.49930954 0.82543868, 35.48117828 0.82737303, 35.49014282 0.8510384600000001, 35.53721619 0.87373519, 35.60261536 0.85687876, 35.62459564 0.86525279, 35.64352036 0.84519982, 35.63632584 0.8407287, 35.64280701 0.82613283, 35.63388062 0.8146958399999999, 35.63793182 0.79293972, 35.62002945 0.7428503, 35.63634491 0.7055425, 35.62372208 0.69071978, 35.62623596 0.68351096, 35.60517502 0.67852145, 35.60956573 0.65039885, 35.59628296 0.62796229, 35.59744644 0.6081339100000001, 35.61185074 0.59137976, 35.55199051 0.56850863, 35.52461624 0.56780469, 35.5055542 0.529724, 35.48804474 0.52680981, 35.472332 0.54684484))",0.0438694227585218,201,admin,2165.0,EV_Service_Center 13,Yes
13,13,KEN,Nyeri,KEN.36_1,101416,-0.5719,37.0827,"POLYGON ((37.13901138 -0.63280588, 37.11828232 -0.63995355, 37.1014595 -0.63253373, 37.09934616 -0.62188584, 37.05927277 -0.60573739, 37.04894257 -0.58998197, 36.99716568 -0.5799737, 36.98740387 -0.57014418, 36.97776031 -0.57341373, 36.9731636 -0.56323439, 36.98359299 -0.56321162, 37.00613785 -0.51384217, 37.01816177 -0.51991987, 37.02634048 -0.51084679, 37.04325867 -0.51650679, 37.05914688 -0.5080475800000001, 37.06252289 -0.51424766, 37.08123398 -0.51263934, 37.09974289 -0.53714794, 37.12947083 -0.53227007, 37.14955902 -0.5752002000000001, 37.17802811 -0.59526998, 37.17982483 -0.60503083, 37.16935349 -0.63123816, 37.13901138 -0.63280588))",0.0145904038008808,564,admin,2019.0,EV_Service_Center 14,No
14,14,KEN,Kisumu,KEN.17_1,159297,-0.318,34.9075,"POLYGON ((34.88979721 -0.39453307, 34.8221283 -0.38068235, 34.82289505 -0.36566442, 34.81102753 -0.34571084, 34.79930878 -0.34877121, 34.79233932 -0.33552215, 34.78570557 -0.33658046, 34.78561783 -0.31663495, 34.76832581 -0.30445442, 34.76059723 -0.3079384, 34.75518036 -0.28561747, 34.70500946 -0.25275433, 34.77289963 -0.25394565, 34.82859039 -0.28776789, 34.85190201 -0.29241699, 34.86746979 -0.28787568, 34.88363266 -0.2625095, 34.94176483 -0.21894896, 34.96594238 -0.23475075, 34.97422791 -0.23255013, 34.98071289 -0.2487884, 34.99544525 -0.25256675, 35.01574707 -0.27554327, 35.05175781 -0.27693897, 35.0469017 -0.29658899, 35.00484085 -0.33224544, 35.01062012 -0.3854084, 35.00265121 -0.39954576, 34.98665237 -0.40829703, 34.93077469 -0.40631887, 34.92986298 -0.39679223, 34.91397095 -0.39724082, 34.91478348 -0.37963003, 34.88979721 -0.39453307))",0.032660916299407,396,admin,3181.0,EV_Service_Center 15,No
15,15,KEN,Kiambu,KEN.13_1,138296,-1.2423,36.6131,"POLYGON ((36.66389084 -1.21060836, 36.66744232 -1.24286819, 36.68779755 -1.23318434, 36.7081604 -1.24194229, 36.70084763 -1.25569034, 36.69369507 -1.25394225, 36.69148254 -1.27308917, 36.66580582 -1.30784285, 36.65970612 -1.29652202, 36.49081421 -1.26398575, 36.5125618 -1.23580313, 36.6127243 -1.21632969, 36.60709381 -1.17650867, 36.62422943 -1.15096593, 36.63157654 -1.1537205, 36.63562393 -1.17082691, 36.63811493 -1.15531766, 36.6547699 -1.15449679, 36.64736557 -1.17791927, 36.65005112 -1.20277166, 36.65818787 -1.19807076, 36.66389084 -1.21060836))",0.0137547293605142,816,admin,2775.0,EV_Service_Center 16,Yes
16,16,KEN,Kirinyaga,KEN.15_1,111921,-0.5421,37.2057,"POLYGON ((37.23291016 -0.64601326, 37.24113846 -0.67046469, 37.23858261 -0.67494059, 37.2327652 -0.66259879, 37.21435165 -0.6850065, 37.20121002 -0.65875614, 37.17855453 -0.66194624, 37.16847229 -0.63298017, 37.17828369 -0.59563124, 37.15995789 -0.58702654, 37.14431 -0.5645842599999999, 37.14983368 -0.54779929, 37.14530945 -0.5220142, 37.15538406 -0.51417434, 37.16292572 -0.51821995, 37.16952896 -0.50859034, 37.16160202 -0.48810145, 37.17684555 -0.47746661, 37.17556381 -0.43725607, 37.19955063 -0.43455914, 37.30661774 -0.1487432, 37.21575546 -0.41645393, 37.21925735 -0.47545037, 37.25009918 -0.53727049, 37.24802017 -0.57496107, 37.26315689 -0.60094196, 37.23291016 -0.64601326))",0.0186918555497453,486,admin,2231.0,EV_Service_Center 17,No
17,17,KEN,Machakos,KEN.22_1,1649,-1.6589,37.1274,"POLYGON ((37.17499161 -1.61693752, 37.19193268 -1.6527015, 37.1966362 -1.71994627, 37.15364838 -1.77776241, 37.15846634 -1.763973, 37.14884186 -1.75915086, 37.1479454 -1.73815274, 37.1321907 -1.74247205, 37.11183167 -1.73351204, 37.02892303 -1.62281215, 37.1396904 -1.56164217, 37.15086365 -1.56722009, 37.17499161 -1.61693752))",0.0192177899534745,6,admin,37.0,EV_Service_Center 18,Yes
18,18,KEN,Makueni,KEN.23_1,206242,-2.2502,37.802,"POLYGON ((38.11969376 -2.3154583, 38.13644409 -2.32057428, 38.12499237 -2.32754827, 38.12204361 -2.35855389, 38.11172104 -2.35547113, 38.08084106 -2.38081884, 38.05457306 -2.36764383, 38.04058456 -2.37135792, 38.01452255 -2.36292887, 38.00417709 -2.38496637, 37.97412109 -2.40628028, 37.97206116 -2.42493415, 37.96487427 -2.42997527, 37.95553589 -2.41264462, 37.91408539 -2.481359, 37.79639053 -2.54242539, 37.59617996 -2.31195235, 37.61235428 -2.2975533, 37.6218338 -2.30437398, 37.63177872 -2.29397798, 37.64614105 -2.29934716, 37.65517807 -2.28746581, 37.66985321 -2.28801107, 37.66704941 -2.28093147, 37.67852402 -2.26425886, 37.67490005 -2.22800088, 37.70586777 -2.19468641, 37.72392654 -2.1885314, 37.70759964 -2.18159676, 37.69907761 -2.16432786, 37.6649704 -2.1554203, 37.62129593 -2.16099572, 37.59254074 -2.1528039, 37.56460953 -2.12679863, 37.54515457 -2.12515569, 37.53362274 -2.1057775, 37.47862244 -2.08387065, 37.47586823 -2.09080815, 37.46240234 -2.08544374, 37.46507645 -2.07879686, 37.45824051 -2.07593751, 37.46990585 -2.04463816, 37.45018387 -2.0379951, 37.44482422 -2.01723671, 37.46385956 -1.99706042, 37.49244308 -2.00281453, 37.50249863 -1.986974, 37.51193237 -1.98560226, 37.51535797 -1.97405171, 37.50188828 -1.9530586, 37.52007675 -1.95805752, 37.53391266 -2.00116825, 37.55719376 -2.0153594, 37.56624603 -2.01951766, 37.56814957 -2.00482655, 37.55945206 -2.00462437, 37.56340027 -1.99034822, 37.57804489 -1.97878468, 37.5872345 -1.99047005, 37.59453964 -1.98820257, 37.60512543 -2.01031852, 37.6004715 -1.99151134, 37.61431885 -1.9836235, 37.6089592 -1.94935536, 37.63004303 -1.95221722, 37.65093994 -1.96499622, 37.65752792 -1.98231101, 37.66917038 -1.98346162, 37.67131042 -2.00939631, 37.68291092 -2.00831485, 37.68430328 -2.02057123, 37.69601822 -2.02326202, 37.70241928 -2.0444479, 37.72303009 -2.05470872, 37.72673798 -2.0678544, 37.74882507 -2.06861949, 37.74689865 -2.07720256, 37.76911545 -2.08195376, 37.77248764 -2.09366608, 37.78329086 -2.08636117, 37.79227829 -2.10667896, 37.81472015 -2.11151123, 37.81773758 -2.12473035, 37.84888077 -2.11177754, 37.87454224 -2.1297121, 37.88299561 -2.11581326, 37.89878845 -2.13408923, 37.92063141 -2.12793279, 37.96354675 -2.14452124, 37.96750259 -2.16716027, 38.02170181 -2.14724278, 38.02766418 -2.16194224, 38.05025482 -2.17092848, 38.06019974 -2.20693088, 38.07039642 -2.21390796, 38.06327438 -2.22167349, 38.07531738 -2.26094151, 38.1116066 -2.2862494, 38.1092453 -2.3003962, 38.11969376 -2.3154583))",0.1729283161395856,96,admin,4126.0,EV_Service_Center 19,No
19,19,KEN,Kilifi,KEN.14_1,231124,-3.2119,39.9154,"POLYGON ((39.71529007 -3.18720245, 39.69073105 -3.13823414, 39.73757172 -3.11982846, 39.76449585 -3.12749839, 39.81890869 -3.1038208, 39.83050537 -3.1105957, 39.82489014 -3.12371826, 39.84332275 -3.12451172, 39.84332275 -3.1394043, 39.85852051 -3.13751221, 39.86810303 -3.15930176, 39.88909912 -3.16131592, 39.89727783 -3.17578125, 39.91027832 -3.16400075, 39.90887451 -3.17242432, 39.92584991 -3.1934731, 39.93731689 -3.18597412, 39.95367432 -3.19042969, 39.97369385 -3.17681885, 39.97192383 -3.16748047, 39.98327637 -3.15570068, 39.99389648 -3.15820312, 39.98687744 -3.14117432, 39.99847412 -3.13751221, 40.00811768 -3.15539551, 40.03042984 -3.14819336, 40.04071045 -3.15960693, 40.07146835 -3.15639329, 40.07802582 -3.16210937, 40.09224319 -3.16018677, 40.10296249 -3.14301658, 40.11261368 -3.14275002, 40.1244545 -3.14636683, 40.14097214 -3.17014003, 40.12097168 -3.20208406, 40.13263702 -3.25569391, 40.12268066 -3.27972412, 40.0546875 -3.28057861, 40.05432129 -3.26867676, 40.03948975 -3.26849365, 40.03948975 -3.25378418, 40.01251221 -3.24328613, 40.00830078 -3.2197876, 39.98669434 -3.21392822, 39.97888184 -3.24688721, 39.91790771 -3.25061035, 39.91790771 -3.36010742, 39.80871582 -3.29187012, 39.8046875 -3.2802124, 39.82470703 -3.23168945, 39.81530762 -3.20770264, 39.769104 -3.24627686, 39.74188232 -3.25128174, 39.75927734 -3.2064209, 39.71529007 -3.18720245))",0.0493169245509486,380,admin,4624.0,EV_Service_Center 20,Yes
